fecha_hora,5Mananti,Abancay,AceArequ,Aguaytia,AltoPrad,Antamina,Antapacc,Asia,Aucayacu,Ayaviri,Azangaro,Balneari,Bambas,Barsi,Bellavis,Botiflac,CHArico1,CHGallCi,CHLaVirg,CHMalpas,CHMoyopa,CHPachac,CHYaupi,CTChilc1,CTFenix,CTIlo1,CTIlo2,CTKallpa,CTMalaca,CTOllero,CTSanNic,CTTumbes,CTVentan,Cachimay,Caclic,CajamNor,Cajamarq,Callalli,Camana,CampArmi,Cantera,Carabayl,Carhuam,Carhuaqu,CemPiura,CerrCoro,CerrVer2,Challapa,Chavarri,ChiclayO,Chilca,ChilcaNu,Chilina,Chillon,Chilota,Chimbot1,ChimbotS,Colcabam,Combapat,Condorco,Constanc,Cotaruse,Desierto,Doloresp,ElHierro,Etanol,Francois,Gloria,Guadalup,Heroes,Hidromet,Huachipa,Huacho,HuallaNu,Huallanc,Huancave,Huanuco,Huaranga,Huayucac,Ica,Ilo1,IloELS,Independ,Industri,Ingenier,Jesus,Juanjui,Juliaca,KimAyllu,LaBrea,LaNina,LaQuinua,LaRamada,Lixiviac,Lomera,Machala,Machupic,Majes,Malvinas,Manchay,Marcona,Mazuko,MedMundo,Millsite,Milpo,Mirador,MnaJusta,Mollendo,Mollepat,Moquegua,Moyobamb,Nana,Orcotuna,OroyaNu,OxiCerro,PaHonda,PaIndELS,PaIndSEA,Pachacut,Papujune,Paragsh1,ParamExi,ParamoNu,PiuraOes,PlantZ,Plaza,Pomacoch,Progreso,PtoMaldo,Pucallpa,Puno,PushBack,QuebHond,Quencoro,Refineri,Repartic,SLuisLDS,Salamanc,SanGaban,SanJuan,SanLuis,SanMigue,SanRafae,Sauces,Socabaya,StaAnita,StaClara,StaRosAn,StaRosNu,Sulfuros,Tacna,TacnaEDN,Talta,Tarapoto,TierraNu,TingMari,Tintaya,Tocache,Tomasi,Toromoch,TrujiNor,TrujilNu,Uchuccha,Yarabamb,Yura,Zorritos,TALARA,Chincha,index,Cahuachi,Valledel,Cutervo,HuarazO,GE1,CTRefTal
2023-04-02 00:30:00,17.7,11.9,158.04,1.88,94,120.9,105.69,24.78,1.25,1.22,11.01,203.61,151.59,156.23,5.92,81.36,0.32,17.56,-13.69,0,12.36,15.85,8.58,0,7.38,0,0,0,12.68,2.43,9.35,8.01,0,34.16,2.36,27.25,178.49,7.39,6.91,3.15,16.52,32.86,13.8,-21.04,6.21,22.4,21.08,19.81,252.74,98.27,59.14,29.43,17.87,142.21,6.27,82.36,36.75,6.52,-0.07,1.29,87.95,28.08,29.72,14.96,89.4,0,30.7,-1.86,39.28,4.71,28.73,34.22,9.23,-16.95,-5.18,12.89,14.31,76.03,-6.48,50.9,44.19,9.97,65.11,56.31,37.23,13.04,1.16,19.61,24.47,45.15,24.61,2.61,4.38,24.27,10.54,0,0.01,8.97,115.08,49.56,51.19,6.38,9.36,45.01,21.2,44.44,50.36,7.28,16.72,11.6,5.85,22.85,-0.72,2.73,4.13,5.12,2.88,22.3,39.48,123.32,11.58,23.92,5.15,126.88,1.18,64.52,41.85,19.61,6.83,28.95,11.59,6.59,8.54,14.33,10.2,0.11,61.47,36.63,3.99,175.21,285.68,8.15,27.66,11.94,17.52,48.62,31.56,79,91.96,109.57,31.78,13.05,10.52,20.45,20.25,3.84,25.03,6.37,1.83,148.9,166.4,12.67,18.2,9.63,35,31.8,,,,,,,,,
2023-04-02 01:00:00,18.01,11.52,143.86,1.9,91.95,130.21,108.16,24.92,1.19,1.02,10.55,195.21,145.39,153.62,5.93,76.66,0.27,16.48,-13.87,0,11.8,16.42,8.1,0,8,0,0,0,12.36,2.79,9.57,7.62,0,34.13,2.5,26.61,177.86,7.88,6.33,3.8,13.27,31.75,13.35,-17.34,6.23,22.24,22.35,18.52,239.37,94.29,56.96,31.39,17.02,136.44,6.36,34.79,34.84,6.12,-0.28,2.66,87.15,28.42,30.05,14.61,90.52,0,32.02,-2.06,39.78,4.34,29.45,37.28,6.41,-16.66,-1.4,13.79,13.52,73.51,-7.48,48.79,45.64,9.54,84.25,55.17,37.29,12.25,1.12,18.9,24.69,45,24.91,2.56,3.96,25.19,9.98,0,-0.19,8.88,110.39,44.46,54.15,6.49,9.46,44.76,22.45,43.01,51,7.17,16.28,11.78,4.9,21.82,-0.21,2.72,3.74,4.79,2.75,22.45,37.95,121.28,12.54,24.94,6.38,119.95,1.37,65.1,42.87,18.61,6.83,27.7,10.99,13.05,8.81,13.74,10.24,0.42,58.98,35.6,3.64,170.54,281.17,8.08,28.29,11.67,16.95,46.75,30.72,75.46,86.78,98.02,30.63,12.69,11.52,19.44,19.23,3.62,24.96,6.47,1.32,148.59,160.3,12.89,17.15,11.2,31.16,30.09,,,,,,,,,
2023-04-02 01:30:00,17.8,11.53,128.42,1.88,90.9,122.37,109.54,27.9,1.26,1.1,10.2,188.07,155.18,144.85,6,79.13,0.35,15.8,-13.16,0,11.51,15.49,7.21,0,7.46,0,0,0,11.48,2.46,9.87,7.29,0,33.94,2.42,25.85,180.93,7.54,6.2,3.6,14.46,32.47,12.76,-22.13,6.19,21.94,22.51,19.38,228.95,90.43,56.01,30.45,15.94,131.49,6.56,77.47,32.28,6.27,-0.12,1.13,88.33,29.01,30.16,13.66,90.08,0,32.95,-1.94,39.35,4.41,29.1,37.48,5.78,-16.93,-4.62,13.92,12.85,70.86,-7.92,46.23,45.64,9.25,83.55,52.96,35.99,11.28,1.04,18.74,23.71,44.14,25.16,2.83,4.44,25.29,9.16,0,-1.62,8.45,105.91,41.36,50.63,6.67,9.6,44.68,23.17,42.44,47.95,7.07,15.61,8.88,5.14,21.03,-0.01,2.49,3.38,4.72,2.69,21.65,36.09,123.37,12.02,25.37,6.8,109.05,1.04,64.61,43.28,17.72,6.83,26.68,10.84,10.95,8.68,12.59,9.89,0.02,57.03,33.98,3.52,164.57,273.7,7.97,27.85,10.8,16.67,46.01,29.83,74.3,83.46,112.67,30.42,12.32,10.64,18.47,19.67,3.57,24.25,6.43,1.48,149.18,154.7,12.98,17.9,10.17,30.27,29.21,,,,,,,,,
2023-04-02 02:00:00,17.87,11.4,164.84,1.9,89.35,121.5,109.59,24.48,1.53,0.87,10.38,182.02,156.23,141.25,5.79,80.59,0.23,15.29,-13.07,0,10.42,17.71,6.76,0,8.61,0,0,0,11.36,3.16,10.29,7.2,0,34,2.04,25.2,175.29,7.69,6.34,3.67,13.75,31.74,12.39,-20.88,6.21,21.74,21.98,19.45,218.16,88.42,53.09,32.91,15.56,129.42,6.34,40.46,29.54,5.59,-0.08,1.91,89.3,27.86,33.82,13.34,94.68,0,31.98,-1.94,39.8,4.49,29.52,40.01,9.51,-16.94,-5.23,13.84,12.53,69.28,-8.18,46.57,43.87,9.18,80.74,51.93,35.73,10.84,0.88,18.39,23.65,44.59,25.04,2.39,4.47,23.54,9.92,0,-2.02,8.32,100.92,37.79,51.56,6.45,9.67,44.78,21.89,46.08,50.67,7.03,14.95,8.15,4.62,20.59,0.05,3.58,3.97,4.77,2.68,21.59,34.87,118.57,13.34,25.13,5.76,109.38,1.72,63.45,43.23,16.89,6.83,25.86,10.74,4.49,8.32,11.14,9.91,0.15,55.81,32.99,2.25,161.39,278.46,7.81,27.55,11.27,16.17,43.73,29.44,71.12,75.7,116.07,30.26,12.05,11.16,18.1,19.68,3.64,24.54,6.06,1.58,148.65,151.52,12.74,19.07,10.16,33.27,29.06,,,,,,,,,
2023-04-02 02:30:00,17.2,12.24,36.92,1.83,87.71,119.63,107,26.21,1.18,1.1,10.75,177.81,155.14,136.6,5.54,79.05,0.28,15.01,-12.86,0,10.78,16.7,6.41,0,7.15,0,0,0,10.88,2.28,9.21,7.08,0,29.05,2.39,26.72,170.92,8.33,5.74,2.15,13.31,32.99,11.93,-23.5,6.02,22.47,22.46,19.55,212.4,85.22,50,29.97,15.11,124.42,6.21,69.24,32.46,4.37,-0.32,1.77,88,26.34,32.14,13.1,86.78,0,30.91,-1.56,40.81,4.54,28.81,43.07,3.7,-17.14,-2.84,13.68,12.03,68.95,-9.46,46.46,43.68,9.11,80.33,50.43,35.57,10.72,0.96,18.25,23.5,43.7,25.23,2.85,3.78,23.34,7.8,0,-1.35,8.18,100.92,35.05,48.86,5.32,8.47,45.23,23.46,43.32,51.58,6.95,14.51,10.89,4.41,20,-0.99,3.06,3.7,4.84,2.45,21.35,33.86,115.36,12.84,25.65,6.83,103.81,1.42,63.77,42.76,16.41,6.83,25,10.62,3.99,8.16,9.38,9.91,-0.2,54.45,32.19,3.99,159.93,277.16,8.07,27.64,10.48,16,43.89,29.04,69.3,70.7,123.47,30.18,12.42,10.84,17.39,19.51,3.29,24.36,6.08,1.69,148.64,148.3,13.7,20.24,12.47,34.62,29.11,,,,,,,,,
2023-04-02 03:00:00,17.2,11.46,156.55,1.69,85.99,131.83,108.03,23.35,1.2,0.94,10.74,173.66,154.83,134.86,5.5,81.41,0.29,14.52,-13.59,0,10.94,16.93,6.5,0,8.08,0,0,0,10.8,2.84,8.67,6.96,0,34.03,1.96,26.72,166.17,8.44,6.08,2.48,11.51,31.98,11.89,-31.8,6.19,22.52,22.04,18.42,210.84,83.88,51.11,32.3,15.02,123.36,6.72,75.82,31.97,5.76,0.05,2.14,88.38,24.44,30.57,13.05,89.68,0,28.94,-1.5,43.86,4.4,28.96,42.26,3.83,-16.84,-4.21,13.69,11.91,66.54,-10.1,44.8,43.46,8.86,78.6,50.79,35.59,10.67,0.92,18.28,23.89,44.63,25.48,2.76,4.17,22.91,8.39,0,-2.98,8.24,98.53,34.43,48.41,5.5,8.57,44.53,23.24,40.78,49.74,6.81,14.41,9.74,4.78,20.08,-0.08,3.24,3.47,5.17,2.41,21.13,32.9,125.65,12.88,24.5,6.91,101.45,1.27,64.95,41.22,16.12,6.83,24.95,10.56,14.77,8.84,10.39,10.02,-0.2,53.71,31.67,2.04,153.3,272.79,7.7,26.72,10.9,15.76,43.15,28.22,66.1,72.15,123.79,29.56,11.47,11.48,17.03,19.35,3.26,24.92,6.04,1.57,148.1,145.2,12.9,19.73,10.95,31.8,29.21,,,,,,,,,
2023-04-02 03:30:00,16.29,11.05,40.5,1.59,86.64,128.73,107.48,24.61,1.35,1.24,10.92,171.41,158.45,133.38,5.48,70.53,0.27,15.09,-13.3,0,11.56,15.74,6.11,0,8.28,0,0,0,11,2.96,9.51,7.01,0,33.31,2.21,25.73,159.86,8.52,6.04,2.61,12.54,32.71,11.76,-29.62,5.95,22.09,23.03,18.87,208.53,83.62,50.99,33.72,14.64,124.06,6.33,68.68,29.02,5.16,0.15,1.77,89.09,27.14,34.85,11.85,89.68,0,29.7,-1.8,43.9,4.41,29.2,40.25,5.19,-17.43,-4.15,13.89,11.66,63.85,-9.54,45.05,43.13,8.95,78.9,49.61,35,10.2,0.88,18.33,23.17,44.39,25.96,2.54,3.28,25.19,6.37,0,-1.93,8.46,96.25,34.54,47.69,5.16,8.95,44.05,25.45,40.23,48.16,6.8,14.41,4.53,4.78,19.99,-0.08,2.94,3.47,4.74,1.62,21.21,32.65,118.97,12.48,25.06,5.83,101.62,1.11,64.73,42.13,15.92,6.83,24.69,10.93,16.48,8.39,11.21,10.03,-0.24,53.05,31.12,1.99,154.41,256.78,8.39,26.96,10.69,15.74,42.29,27.99,66.89,74.56,122.64,30.27,11.59,11.82,16.71,21.3,3.28,24.66,5.78,1.43,148.13,144.47,13.6,19.31,11.5,33.98,28.26,,,,,,,,,
2023-04-02 04:00:00,16.73,11.07,169.42,1.57,86.43,128.88,106.71,22.31,1.32,1.08,10.98,169.46,156.84,131.78,5.53,76.01,0.26,14.7,-13.01,0,10.23,16.11,6.45,0,8.73,0,0,0,10.84,3.26,10.13,6.78,0,33.99,2.07,24.07,162.29,7.94,6.01,1.91,11.81,32.48,11.74,-29.04,5.98,22.02,22.25,17.59,206.4,82.72,53.42,33.49,14.92,120.96,6.74,83.37,30,5.17,0.13,1.71,87.58,28.76,34.9,12.52,93.92,0,32.29,-2.2,43.74,4.58,29.75,37.02,5.27,-17.08,-5.14,13.36,11.36,63.49,-9.54,44.25,45.28,8.6,80.87,48.16,34.5,10.37,0.8,18.68,24.81,44.65,25.12,2.66,3.91,25.24,7.5,0,-2.51,8.82,96.25,37.3,47.19,4.86,9.14,44.95,21.12,36.15,46.35,6.64,14.14,6.48,4.77,20.08,-0.34,2.92,3.46,5.01,2.41,21.44,31.55,125.95,13.96,21.98,6.05,100.66,1.2,65.54,42.33,15.38,6.83,24.36,10.87,7.6,8.78,12.83,9.79,-0.56,52.3,31.23,3.73,153.24,248.08,8.72,27.62,10.53,15.36,42.44,27.82,65.62,75.04,118.59,29.93,11.34,11,16.46,20.62,3.36,24.97,6.64,1.58,147.91,141.41,13.38,19.49,11.35,34.18,27.2,,,,,,,,,
2023-04-02 04:30:00,17.23,10.69,137.32,1.62,85.98,121.85,112.15,24.04,1.33,1.3,10.81,168,156.99,132.52,5.63,80.63,0.33,15.19,-12.95,0,9.24,17.65,6.25,0,8.4,0,0,0,10.84,3.08,9.2,6.96,0,33.96,1.6,23.93,163.2,8.79,6.16,3.46,11.54,32.84,11.74,-27.46,5.95,21.85,21.08,17.41,203.96,81.05,52.39,32.64,15.02,119.59,6.06,63.61,28.21,7.46,0.04,2.26,88.83,27.95,31.72,12.57,85,0,32.05,-2,43.29,4.7,29.35,38.5,4.92,-16.74,-3.63,12.97,11.48,63.59,-9.44,42.84,44.92,8.63,78.18,48.6,33.1,10.26,0.88,18.69,23.89,44.4,25.37,2.51,4.4,25.27,8.75,0,-1.71,8.87,91.55,36.62,49.27,5.35,9.05,46.19,21.04,39.89,48.46,6.64,14.67,9.24,4.94,20.22,-0.05,3.41,4.3,4.98,1.63,21.52,31.25,125.05,14.22,24.85,7.15,100.28,1.51,65.62,36.93,15.12,6.83,23.96,10.85,11.41,9.43,12.66,9.72,0.1,52.04,30.92,4.01,151.83,246.68,8.4,27.5,10.83,15.6,42.12,27.71,65.74,74.29,121.49,31.19,11.35,11.4,16.54,22.48,3.62,25.08,6.46,1.84,146.53,143.87,13.69,18.02,10.15,33.07,26.22,,,,,,,,,
2023-04-02 05:00:00,16.92,10.41,159.22,1.56,86.34,128.73,112.95,23.22,1.24,0.91,11.04,168.96,154.59,130.7,5.79,78.41,0.21,14.52,-13.59,0,9.22,15.62,6.39,0,6.51,0,0,0,10.88,1.86,9.22,7.22,0,34.28,2.56,25.01,170.15,8.7,6.25,2.11,12.05,32.97,11.48,-32.23,5.9,22.32,21.97,16.03,200.31,81.45,49.95,19.59,15.27,118.91,6.09,39.23,27.58,4.5,0.08,2.4,87.37,26.71,34.31,12.94,90.06,0,28.14,-2.3,42.28,4.49,29.55,29.31,1.1,-17.48,-4.43,12.25,11.71,66.93,-8.84,43.48,43.46,7.96,77.14,47.61,32.9,10.21,1.08,19.19,22.24,44.57,25.74,2.18,3.83,25.45,9.04,0,-1.62,9.29,50.76,44.59,46.58,5.78,9.91,44.38,22.5,46.33,47.63,6.66,14.55,11.66,5.05,20.63,-0.55,2.57,3.94,4.92,2.44,22.13,30.65,123.47,12.76,24.34,7.34,100.68,1.4,65.84,38.61,14.81,6.84,24.25,11.16,14.02,9.08,12.95,10.06,0.21,51.78,31.12,2.08,154.82,239.34,8.89,27.02,9.48,16.24,42.21,27.91,67.19,74.6,119.85,30.36,42.13,9.9,16.98,23.25,3.13,25.13,5.74,1.5,148.22,144.09,13.91,20.09,10.06,34.56,25.84,,,,,,,,,
