fecha_hora,5Mananti,Abancay,AceArequ,Aguaytia,AltoPrad,Antamina,Antapacc,Asia,Aucayacu,Ayaviri,Azangaro,Balneari,Bambas,Barsi,Bellavis,Botiflac,CHArico1,CHGallCi,CHLaVirg,CHMalpas,CHMoyopa,CHPachac,CHYaupi,CTChilc1,CTFenix,CTIlo1,CTIlo2,CTKallpa,CTMalaca,CTOllero,CTSanNic,CTTumbes,CTVentan,Cachimay,Caclic,CajamNor,Cajamarq,Callalli,Camana,CampArmi,Cantera,Carabayl,Carhuam,Carhuaqu,CemPiura,CerrCoro,CerrVer2,Challapa,Chavarri,ChiclayO,Chilca,ChilcaNu,Chilina,Chillon,Chilota,Chimbot1,ChimbotS,Colcabam,Combapat,Condorco,Constanc,Cotaruse,Desierto,Doloresp,ElHierro,Etanol,Francois,Gloria,Guadalup,Heroes,Hidromet,Huachipa,Huacho,HuallaNu,Huallanc,Huancave,Huanuco,Huaranga,Huayucac,Ica,Ilo1,IloELS,Independ,Industri,Ingenier,Jesus,Juanjui,Juliaca,KimAyllu,LaBrea,LaNina,LaQuinua,LaRamada,Lixiviac,Lomera,Machala,Machupic,Majes,Malvinas,Manchay,Marcona,Mazuko,MedMundo,Millsite,Milpo,Mirador,MnaJusta,Mollendo,Mollepat,Moquegua,Moyobamb,Nana,Orcotuna,OroyaNu,OxiCerro,PaHonda,PaIndELS,PaIndSEA,Pachacut,Papujune,Paragsh1,ParamExi,ParamoNu,PiuraOes,PlantZ,Plaza,Pomacoch,Progreso,PtoMaldo,Pucallpa,Puno,PushBack,QuebHond,Quencoro,Refineri,Repartic,SLuisLDS,Salamanc,SanGaban,SanJuan,SanLuis,SanMigue,SanRafae,Sauces,Socabaya,StaAnita,StaClara,StaRosAn,StaRosNu,Sulfuros,Tacna,TacnaEDN,Talta,Tarapoto,TierraNu,TingMari,Tintaya,Tocache,Tomasi,Toromoch,TrujiNor,TrujilNu,Uchuccha,Yarabamb,Yura,Zorritos,TALARA,Chincha,index,Cahuachi,Valledel,Cutervo,HuarazO,GE1,CTRefTal
2023-04-04 00:30,20.7,15.87,162.54,1.64,102.92,123,111.67,24.7,1.35,1.4,13.13,203.46,158.86,158.84,6.32,75.26,0.24,15.22,-13.6,0,11.96,17.01,9.55,0,0,0,0,0,11.92,3.02,9.34,7.67,0,15.72,2.01,23.9,172.44,8.74,6.76,3.29,12.13,30.89,13.72,-7.36,6.6,22.72,24.2,24.29,246.28,98.66,60.32,29.61,16.5,137.54,6.14,41.54,37.31,4.72,0.37,-3.32,88.5,26.56,32.84,17.67,91.78,0,28.05,2.08,33.94,4.37,29.51,49.39,4.29,-16.42,-4.05,13.24,13.66,79.28,-6.32,49.51,45.16,8.58,70.55,57.52,37.42,13.14,1,18.42,29.23,44.31,22.36,2.53,3.86,25.02,12.42,0,-3.38,8.48,115.37,45.51,48.3,1.94,13.01,43.64,20.22,48.6,51.24,7.69,15.58,8.9,4.48,28.38,-0.53,2.77,3.82,5.3,2.64,23.42,39.54,128.93,12.54,36.91,7.15,114.05,1.07,65.65,37.4,18.67,11.01,31.04,11.07,15.42,8.77,12.58,10.23,8.03,61.91,37.78,3.12,150.9,123.97,8.53,28.32,12.64,18.51,47.43,30.58,81.08,70.39,117.11,30.9,14.51,10.48,19.36,20.23,3.55,24.55,6.83,1.44,153.16,173.54,12.57,19.61,9.43,28.88,29.6,,,,,,,,,
2023-04-04 01:00,21.3,15.2,47.23,1.57,100.61,124.69,110.67,28.06,1.27,1,12.41,192.14,157.83,153,6.31,81.67,0.26,16.35,-13.82,0,11.86,17.59,7.32,0,0,0,0,0,11.48,5.14,9.14,7.56,0,15.63,2.3,22.87,173.74,8.92,6.5,2.46,14.44,32.61,13.66,-10.76,6.71,22.27,19.77,24.25,236.49,93.57,58.66,29.51,15.48,131.85,5.76,80.57,35.21,5.33,0.15,-3.15,87.92,26.55,32.68,17.11,87.34,0,28.5,2.04,36.3,4.49,29.88,46.94,4.5,-17.1,-4.38,13.18,12.71,75.51,-7.92,47.77,45.33,8.27,78.18,56.48,36.04,12.24,1,18.33,28.86,43.7,21.09,2.11,4.08,25.18,11.1,0,-3.88,8.29,110.57,44.74,50.26,1.83,13.04,45.33,23.32,44.63,49.83,7.34,14.98,11.08,4.29,27.47,-1.21,2.57,3.63,5.17,2.56,22.44,37.3,124.1,12.16,36.68,6.67,110.35,0.88,66.45,39.28,16.67,10.6,29.74,10.69,8.67,8.33,11.95,10.19,8.28,59.81,36.41,2.08,153.24,102.74,8.16,27.67,12.53,17.6,46.08,30.08,77.18,67.61,119.04,30.84,13.97,10.6,18.59,20.65,3.35,23.46,7.07,1.46,153.65,171.57,13.05,19.46,11.66,29.23,28.94,,,,,,,,,
2023-04-04 01:30,21.09,14.94,34.79,1.67,99.24,118.23,106.73,28.27,1.31,0.87,12.19,184.93,151.24,144.38,6.26,77.4,0.22,11.96,-14.03,0,10.82,18.62,6.89,0,0,0,0,0,11.44,5.35,9.26,7.38,0,14.9,2.38,24.51,175.06,8.8,6.39,2.38,14.63,32.51,13.63,-9.95,6.57,22.06,20.71,23.91,230.18,90.27,58.32,27.72,15.04,129.24,6.38,74.19,33.86,5.16,0.08,-3.13,86.53,27.14,32.2,16.14,92.64,0,28.88,1.72,38.68,4.57,29.55,49.68,1.91,-17.2,-6.63,12.75,12.42,73,-9.04,47.41,43.74,8.36,77.06,54.36,35.71,11.68,1.12,17.67,28.25,43.98,21.36,2.32,4.06,25.19,11.07,0,-3.4,7.96,108.2,40.43,50.94,1.94,12.51,44.77,21.86,42.43,50.54,7.32,14.58,8.28,4.24,26.55,-1.25,2.06,3.77,5.47,2.68,21.78,35.7,118.97,12.94,36.18,6.76,99.47,0.59,65.51,36.77,16.05,10.36,28.72,10.65,14.06,8.33,10.11,9.96,8.7,57.45,35.76,1.98,149.22,86.27,7.86,27.85,12.64,16.98,44.84,28.94,73.65,63.75,120.16,30.37,13.55,11.02,17.75,20.16,3.5,23.17,6.69,1.78,158.63,160.23,13.33,18.53,11.52,27.11,28.93,,,,,,,,,
2023-04-04 02:00,19.13,15.57,55.07,1.62,97.98,120.81,107.27,26.71,1.34,0.86,11.69,180.76,159.85,143.75,6.08,77.39,0.29,15.17,-12.94,0,10.42,18.08,6.81,0,0,0,0,0,11.56,5.45,9.24,7.35,0,15.28,0.78,23.73,179.13,8.47,6.5,2.17,13.13,31.04,13.3,-7.47,6.79,21.72,19.65,23.26,219.89,85.84,56.36,29.66,14.62,124.99,5.98,43.91,33.62,6.31,0.04,-1.89,86.54,28.21,33.31,15.76,90.58,0,26.93,2.02,37.78,4.54,29.88,50.2,8.94,-17.07,-5.61,13.2,11.7,71.81,-8.88,45.32,43.12,7.9,76.4,55.74,35.07,11.13,1,17.66,28.32,43.76,23.35,2.54,3.37,23.72,10.39,0,-4.59,7.7,103.53,40.14,50.41,1.96,10.09,44.57,23.87,43.84,49,7.15,14.15,9.86,4.23,26.35,-1,2.7,3.71,5.21,2.65,21.13,33.81,122.93,13.58,35.9,7.43,99.28,1.16,64.63,37.86,15.65,10.12,27.78,10.56,3.62,8.44,9.19,10.03,8.34,56,34.54,2.65,152.44,122.96,7.81,27.57,12.6,16.79,43.67,29.19,72.48,62.69,119.4,29.98,13.23,10.74,17.58,21.25,3.46,23.52,6.56,1.77,152.97,156.49,13.05,18.23,11.08,27.05,30.39,,,,,,,,,
2023-04-04 02:30,15.59,15.39,41.37,1.53,97.54,130.59,103.97,27.06,1.26,1.05,11.73,176.55,155.77,140.45,5.88,79.84,0.21,12.36,-13.44,0,10.59,19.22,6.66,0,0,0,0,0,10.88,5.35,9.19,7.12,0,14.87,0.92,25.05,179.65,8.68,6.65,2.6,13.44,31.82,13.4,-8.98,6.63,22.82,16.97,23.09,216.9,85.51,56.99,28.83,14.32,123.5,5.89,36.88,33.93,5.73,0.08,-3.2,87.98,25.16,34.45,15.64,86.42,0,26.66,2.74,36.17,4.57,29.76,52.67,5.3,-17.38,-4.38,13.49,11.4,70.65,-9.44,44.89,43.18,7.6,76.44,54.14,35.54,10.64,1,17.31,29.19,43.97,21.85,2.34,3.31,23.58,9.91,0,-4.18,8.19,103.53,36.56,50.02,1.9,9.73,44.59,20.87,42.57,50.16,6.87,14.19,11.54,4.38,26.05,-0.85,2.28,3.27,5.42,2.5,20.3,33.02,112.57,14.6,35.42,6.58,97.25,0.67,62.85,36.25,15.3,9.8,27.76,10.03,3.06,8.6,9.37,9.83,8.4,55.14,33.89,1.77,147.81,125.52,8.85,27.86,12.44,17.23,43.07,28.39,72.51,59.89,118.57,29.76,13.29,10.58,17.5,19.64,3,23.51,6.63,1.79,156.19,156.54,13.51,19.22,11.84,26.57,31.2,,,,,,,,,
2023-04-04 03:00,16.55,15.23,29.59,1.62,96.94,125.24,110.45,26.25,1.27,1.12,11.64,173.84,155.29,138.17,5.94,78.4,0.26,16.98,-13.15,0,10.76,19.23,6.67,0,0,0,0,0,9.84,5,9.56,7.02,0,15.08,0.92,24.25,176.86,8.76,6.56,2.32,13.5,31.73,13.55,-16.63,6.57,22.42,16.47,22.96,214.89,85.21,53.89,30.77,14.14,122.17,6.23,38.28,33.38,5.88,-0.04,-2.3,87.82,26.33,36.26,15.42,94.9,0,24.97,1.36,38.42,4.36,29.62,50.89,8.17,-17.5,-4.5,13.85,11.21,70.39,-10.08,44.88,43.25,7.54,75.97,56.34,35.31,10.59,1.08,17.43,29.79,43.32,18.91,2.47,3.89,23.68,9.96,0,-4.6,8.29,98.95,36.58,51.56,1.81,9.79,44.58,24.26,43.75,45.18,6.78,14.16,11.29,4.22,26.01,-0.97,2.96,3.85,5.26,2.5,20.04,32.86,112.98,13.88,35.46,6.72,95.85,0.97,63.75,35.89,14.7,9.69,27.46,9.89,9.15,8.64,8.77,9.85,8.07,54.48,33.1,1.69,146.01,129.68,9.45,27.99,13.07,17.25,42.77,28.54,70.08,59.04,120.32,29.26,13.26,9.82,17.13,20.31,2.99,23.8,6.72,1.27,157.24,157.79,12.97,18.14,10.35,27.57,31.28,,,,,,,,,
2023-04-04 03:30,18.71,14.93,27.95,1.64,97.05,126.8,110.14,26.58,1.32,1.14,11.79,171.14,150.86,135.47,6.1,67.82,0.33,9.97,-14.07,0,10.82,21.11,6.12,0,0,0,0,0,9.68,5.21,9.14,7.38,0,15.34,2,24.52,176.8,8.94,6.48,2.14,13.14,32.51,12.84,-15.06,6.58,22.68,18.04,23.42,213.23,84.35,54.61,29.82,14.14,121.08,6.26,80.5,31.61,5.45,-0.13,-3.67,89.35,28.11,37.38,15.43,88.2,0,24.8,0.7,43.18,4.71,29.53,49.92,3.66,-17.22,-2.73,13.51,11.07,69.1,-9.94,44.51,44.22,7.67,77,55.73,35.04,10.62,0.96,17.7,30.01,43.81,18.98,2.33,3.67,23.82,8.49,0,-4.85,8.04,98.95,36.5,51.2,1.8,12.52,44.04,20.8,40.89,49.75,6.73,14.12,12.7,3.91,26.01,-1.01,3.57,3.75,4.83,2.46,20.51,32.25,114.7,13.5,35.88,6.75,94.06,2.11,65.44,35.74,14.49,9.65,27.43,10.01,5.33,8.99,9.1,9.79,10.77,54.01,32.8,2.13,148.68,128.07,9.74,27.79,13.36,17.83,42.24,28.11,69.01,60.75,123.7,30.54,12.8,10.8,16.59,18.43,2.97,22.61,6.53,1.6,153.63,157.9,13.65,20.48,11.3,28.03,31.46,,,,,,,,,
2023-04-04 04:00,19.19,15.17,41.39,1.66,96.55,127.12,110.4,26.27,1.29,1.35,12.05,171.07,150.7,136.25,6.16,72.68,0.33,17.88,-13.61,0,9.5,20.28,6.73,0,0,0,0,0,9.8,5.53,9.01,7.3,0,15.21,2.32,22.14,177.29,8.91,6.48,3.11,13.49,32.13,12.4,-19.07,6.71,22.58,15.57,23.8,213.04,81.1,55.3,30.93,14.18,121.47,6.23,76.2,30.88,5.65,-0.12,-3.63,86.68,28.74,37.01,16.03,91.3,0,24.6,1.08,39.18,4.57,28.81,50.11,2.15,-17.23,-3.96,13.56,11.07,68.48,-10.02,44.35,44.6,7.8,76.55,56.04,35.66,10.45,1,17.73,29.88,43.64,18.16,2.17,3.93,23.74,9.11,0,-4.31,8.58,98.95,36.09,51.54,1.77,13.97,44.51,21.23,39.53,51.62,6.92,14.43,14.36,4.02,26.79,-1.01,3.57,3.96,5.15,1.63,20.51,31.91,119.49,13.52,36.15,7.8,93.47,2.08,66.72,34.96,14.37,9.86,27.31,10.26,7.92,8.47,11.1,9.74,10.22,53.71,32.26,3.52,146.75,123.75,9.8,26.82,13.23,17.12,41.87,27.8,69.17,61.07,122.55,31,12.84,10.8,17.01,20.15,2.86,23.13,5.8,1.48,150.56,156.28,13.28,18.83,10.5,29.39,31.65,,,,,,,,,
2023-04-04 04:30,19.91,15.23,25.02,1.68,96.04,128.57,111.19,25.84,1.27,1.3,12.43,172,152.25,137.35,6.12,78.65,0.26,12.79,-13.41,0,9.71,19.29,6.38,0,0,0,0,0,9.68,5.6,8.71,7.26,0,15.21,1.79,29.37,195.88,9.22,6.7,3.04,13.63,31.89,12.45,-29.21,6.6,22.47,19.53,23.54,215.21,82.64,54.72,30.04,14.48,121.29,6.11,43.63,33.67,5.89,0.25,-3.25,85.17,28.12,37.09,15.88,91.22,0,24.58,2.1,41.55,4.62,29.59,48.74,8.41,-17.23,-2.47,13.4,11.47,69.58,-9.46,45.59,42.24,7.58,77.64,55.85,36.25,10.56,1.12,18.13,29.37,43.78,17.85,2.4,3.83,23.71,10.21,0,-4.17,9.2,98.95,37.51,51.72,1.85,9.48,44.79,21.55,41.1,51.95,7,14.89,9.39,4.04,26.82,-0.93,3.63,4.01,5.35,2.4,20.63,31.76,109.09,14.76,35.19,6.43,96.95,2.02,65.76,34.21,14.41,10.05,27.91,10.43,8.54,8.48,11.35,9.77,11.38,54.17,32.82,2.06,149.11,126.22,8.91,26.26,13.2,17.33,41.95,28.1,70.04,62.55,121.47,30.83,13,10.84,17.17,19.17,2.65,23.38,6.02,1.82,151.86,157,13.37,16.91,10.97,31.03,31.93,,,,,,,,,
2023-04-04 05:00,20.48,14.44,19.14,1.74,96.55,124.07,112.45,25.59,1.41,1.29,12.29,174.73,143.78,138.41,6.1,80.82,0.25,15.32,-14.04,0,10.09,18.38,6.28,0,0,0,0,0,9.6,5.34,8.63,7.41,0,16.08,1.77,32.36,193.9,8.9,6.86,2.74,13.93,32.68,12.38,-30.34,6.85,22.5,19.36,23.25,216.7,82.38,53.82,29.35,15.09,122.95,6.35,86.84,33.62,4.19,0.35,-2.37,86.51,27.54,35.74,16.53,86.26,0,27.36,2,44.47,4.99,29.66,48.85,3,-16.71,-2.24,12.53,11.72,69.92,-8.86,45.67,43.18,7.38,79.86,55.7,36.59,10.71,1.16,18.39,29.28,43.78,18.33,2.48,4.17,23.68,9.95,0,-4.79,9.84,98.93,36.96,53.91,1.83,13.2,44.18,20.34,41.71,51.46,7.18,15.4,10.46,4.53,26.68,-0.76,3.56,4.17,5.88,1.75,21.04,33.09,114.8,14.36,35.44,7.06,98.89,1.91,62.8,32.31,14.57,10.11,28.79,10.64,14.21,9.62,11.52,9.94,11,54.91,33.97,2.04,152.2,120.81,9.64,26.6,12.07,17.98,42.26,28.29,71.1,60.72,121.47,32.5,13.03,9.48,17.72,20.68,3.19,23.65,6.07,2.15,154.73,155.91,13.93,16.46,11.63,30.18,31.75,,,,,,,,,
