fecha_hora,5Mananti,Abancay,AceArequ,Aguaytia,AltoPrad,Antamina,Antapacc,Asia,Aucayacu,Ayaviri,Azangaro,Balneari,Bambas,Barsi,Bellavis,Botiflac,CHArico1,CHGallCi,CHLaVirg,CHMalpas,CHMoyopa,CHPachac,CHYaupi,CTChilc1,CTFenix,CTIlo1,CTIlo2,CTKallpa,CTMalaca,CTOllero,CTSanNic,CTTumbes,CTVentan,Cachimay,Caclic,CajamNor,Cajamarq,Callalli,Camana,CampArmi,Cantera,Carabayl,Carhuam,Carhuaqu,CemPiura,CerrCoro,CerrVer2,Challapa,Chavarri,ChiclayO,Chilca,ChilcaNu,Chilina,Chillon,Chilota,Chimbot1,ChimbotS,Colcabam,Combapat,Condorco,Constanc,Cotaruse,Desierto,Doloresp,ElHierro,Etanol,Francois,Gloria,Guadalup,Heroes,Hidromet,Huachipa,Huacho,HuallaNu,Huallanc,Huancave,Huanuco,Huaranga,Huayucac,Ica,Ilo1,IloELS,Independ,Industri,Ingenier,Jesus,Juanjui,Juliaca,KimAyllu,LaBrea,LaNina,LaQuinua,LaRamada,Lixiviac,Lomera,Machala,Machupic,Majes,Malvinas,Manchay,Marcona,Mazuko,MedMundo,Millsite,Milpo,Mirador,MnaJusta,Mollendo,Mollepat,Moquegua,Moyobamb,Nana,Orcotuna,OroyaNu,OxiCerro,PaHonda,PaIndELS,PaIndSEA,Pachacut,Papujune,Paragsh1,ParamExi,ParamoNu,PiuraOes,PlantZ,Plaza,Pomacoch,Progreso,PtoMaldo,Pucallpa,Puno,PushBack,QuebHond,Quencoro,Refineri,Repartic,SLuisLDS,Salamanc,SanGaban,SanJuan,SanLuis,SanMigue,SanRafae,Sauces,Socabaya,StaAnita,StaClara,StaRosAn,StaRosNu,Sulfuros,Tacna,TacnaEDN,Talta,Tarapoto,TierraNu,TingMari,Tintaya,Tocache,Tomasi,Toromoch,TrujiNor,TrujilNu,Uchuccha,Yarabamb,Yura,Zorritos,TALARA,Chincha,index,Cahuachi,Valledel,Cutervo,HuarazO,GE1,CTRefTal
2023-04-05 00:30,18.44,14.76,144.54,1.62,98.25,123.19,112.7,20.54,1.47,0.91,14.59,204.98,157.86,152.5,6.5,75.71,0.37,16.42,-13.22,0,11.99,29.26,6.99,0,0,0,0,0,12.04,4.79,9.51,8.66,0,33.91,1.31,24.77,179,7.83,6.76,2.03,13.86,32.26,12.97,-37.25,8.91,23.38,18.99,23.36,251.62,95.92,54.84,28.99,16.34,138.72,6.29,23.12,32.73,5.06,0.61,0.79,83.73,25.39,32.11,14.91,91.78,0,27.08,1.36,39.18,4.62,29.74,54.15,2.42,-16.01,128.86,13.51,13.35,81.73,-6.8,49.39,43.78,10.16,69.42,58.78,38.37,12.82,1,18.85,-207.69,43.1,21.67,2.34,7.53,23.95,13.44,0,-0.91,8.3,122.23,40.35,50.99,2.03,12.65,45.69,21.73,48.21,52.99,7.64,15.07,14.74,4.46,26.22,-1.07,3.51,4.1,6.21,2.58,22.92,39.76,116.74,15.48,25.47,8.19,117.97,1.75,9.77,38.02,18.43,10.51,31.32,10.83,8.29,6.52,15.87,9.91,8.31,62.73,39.23,1.57,184.48,140.36,8.99,28.15,13.38,17.35,46.01,34.06,83.96,71.7,107.88,31.33,15.06,10.12,19.58,16.57,4.1,23.35,6.17,1.77,152.37,177.8,12.51,18.86,10.86,28.09,29.01,,,,,,,,,
2023-04-05 01:00,18.99,14.94,110.74,1.7,95.4,121.18,106.74,18.41,1.55,1.08,14.79,195.16,163.32,146.27,6.35,76.08,0.38,15.55,-13.32,0,11.57,29.84,6.84,0,0,0,0,0,12,4.27,8.76,8.33,0,31.68,1.02,24.36,179.45,8.2,6.51,1.64,15.29,32.65,13.57,-31.04,9.7,22.81,19.69,22.36,240.7,89.37,51.84,27.7,15.19,133.13,6.25,18.34,32.58,4.94,0.47,1.88,84.88,24.19,35.52,13.48,96.08,0,28.27,1.32,38.18,4.56,29.92,53.47,2.95,-15.6,140.78,12.76,13,78.18,-7.96,48.38,43.45,9.54,77.43,57.42,38.01,12.18,1,18.51,-219.03,40.83,23.84,2.44,7.33,28.1,11.29,0,0.15,8.32,117.55,40.45,50.17,1.86,12.48,45.89,22.19,43.52,51.61,7.37,14.09,15.24,4.23,25.04,-1.76,3.27,4.07,6.28,2.46,22.13,37.33,125.27,15.26,25.04,7.71,113.09,0.83,10.2,37.74,17.41,10.14,29.98,10.89,7,6.77,13.36,10,9.04,60.4,37.44,1.39,177.34,135.01,8.87,28.69,12.84,16.82,44.5,32.83,79.06,70.25,113.87,30.89,14.27,10.54,18.42,17.41,4.13,23.03,5.89,1.58,148.36,172.85,13.02,17.66,13.4,28.46,28.16,,,,,,,,,
2023-04-05 01:30,19.03,15.5,110.52,1.66,94.72,117.6,112.99,20.83,1.5,1.44,14.21,187.7,157.16,140.34,6.13,75.17,0.26,14.56,-13.08,0,11.35,30.63,6.22,0,0,0,0,0,11.96,4.14,8.97,8.3,0,31.66,2.05,22.5,178.03,8.12,6.31,0.81,13.48,31.81,13.66,-21.2,17.13,22.41,19.37,22.08,232.12,87.31,51.33,28.76,14.77,129.72,6.11,60.72,32.22,4.28,0.21,0.52,84.45,24.92,33.07,12.93,94.4,0,28.05,0,39.69,4.58,29.57,51.64,2.82,-15.76,112.76,12.9,12.39,75.19,-9.04,47.14,42.97,9.42,75.9,56.41,37.55,11.55,0.92,18.44,-195.43,40.71,22.2,2.3,6.96,26.4,9.9,0,-0.98,7.65,112.77,39.49,51.27,1.85,11.39,44.92,23.73,44.84,45.07,7.19,13.74,14.54,3.97,23.86,-1.56,3.02,3.84,6.04,2.41,21.3,35.72,125.47,14.06,25,7.46,106.69,1.37,10.76,37.9,16.76,9.95,29.47,10.69,5.99,6.4,11.74,9.81,8.91,57.91,36.26,1.42,174.87,135.16,9.36,27.81,13.13,16.17,43.39,32.26,74.22,66.81,115.84,30.55,13.37,10.4,17.69,14.75,4.08,23.39,5.98,2.06,151.54,167.29,12.62,18.53,12.39,28.8,27.72,,,,,,,,,
2023-04-05 02:00,18.09,15.06,161.08,1.57,94.83,124.54,105.41,17.36,1.31,1.12,14.15,182.73,149.17,136.27,6.3,72.93,0.38,14.52,-13.41,0,10.98,30.8,6.58,0,0,0,0,0,11.96,3.76,8.63,8.18,0,31.42,2.31,21.73,177.38,8.2,6.43,2.27,13.6,31.77,13.93,-22.2,9.62,22.63,18.66,21.91,224.33,85.78,53.11,28.1,14.29,125.58,6.56,22.18,30.51,4.43,0.29,0.02,86.34,25.98,31.94,12.91,94.64,0,29.42,-0.24,39.67,4.41,30.01,50.61,3.1,-16.4,133.74,12.77,12.01,74.86,-8.66,44.84,44.66,9.5,74.54,55.31,36.06,11.1,0.92,18.55,-215.39,40.38,22.49,2.39,7.05,23.33,10.81,0,-0.29,7.42,108.2,39.56,49.67,1.87,12.53,45.34,23.88,45.73,51.86,7.26,13.46,13.56,3.85,23.42,-1.24,2.82,3.77,6.48,2.37,21.22,35.2,119.05,14.9,25.23,7.86,108.53,1.56,9.68,39.39,16.17,9.79,28.8,10.62,3.53,6.98,11.51,9.66,8.76,56.58,35.22,1.58,172.36,97.25,8.99,28.45,13.08,15.93,42.65,32.47,72.53,64.88,108.13,30.19,13.31,10.86,17.26,15.42,3.78,23.35,6,1.58,152.72,166.36,12.71,18.59,10.83,27.01,27.53,,,,,,,,,
2023-04-05 02:30,18.32,14.73,127.62,1.57,94.27,126.77,112.5,20.75,1.34,1.44,14.7,177.99,156.01,138.53,6.37,76.94,0.37,13.98,-13.47,0,10.79,30.43,6.47,0,0,0,0,0,11.92,5.09,8.99,8.18,0,31.62,2.44,21.91,181.11,8.23,6.44,2.37,12.49,31.51,13.2,-18.66,9.29,22.31,17.45,22.02,218.17,84.37,53.69,28.27,14.09,123.06,6.83,55.58,30.5,5.04,0.11,-0.1,86.02,23.4,33.18,12.58,90.86,0,26.7,0.82,38.77,4.54,29.05,50.4,3.11,-16.89,85.56,14.02,11.88,73.03,-9.06,45.58,43.35,8.94,75.53,54.41,35.74,10.95,0.84,18.47,-183.21,40.22,21.57,1.9,6.93,23.24,8.82,0,-0.71,7.7,108.2,38.98,50.53,1.78,11.24,44.53,23.49,41.89,51.07,7.22,13.69,10.68,3.54,22.8,-1.43,3.51,4.09,6.67,2.37,20.5,33.9,120.89,13.4,25.31,7.36,104.7,1.86,9.49,36.77,15.68,9.62,28.17,9.74,3.17,6.68,10.69,9.56,7.78,55.35,34.34,1.35,159.92,115.26,10.03,28.68,13.33,15.97,42.16,31.94,71.6,62.1,116.93,30.42,12.96,10.52,17.12,15.03,3.83,23.02,5.9,1.87,148.87,159.77,11.88,20.96,10.5,29.46,29.24,,,,,,,,,
2023-04-05 03:00,18.57,13.65,132.94,1.68,95.21,121.68,108.47,20.04,1.36,1.49,14.6,175.85,158.65,133.44,6.43,75.33,0.28,13.23,-13.25,0,10.65,31.65,6.26,0,0,0,0,0,11.96,4.98,9.49,8.09,0,33.56,2.41,22.17,140.39,8.12,6.33,2.99,11.07,32.75,13.28,-23.12,17.57,21.92,18.24,21.56,212.47,82.95,51.97,31.32,13.82,125.74,6.53,47.72,28.61,4.46,0.14,0.13,86.49,18.08,32.91,13.82,87.84,0,27.37,0.8,37.68,4.49,29.09,49.65,1.88,-16.31,109,13.1,11.21,71.86,-9.4,42.72,43.51,8.85,75.08,53.96,35.73,10.76,0.88,17.95,-200.9,40.23,22.16,2.64,6.84,22.91,11.57,0,-2.35,7.86,105.93,38.13,50.06,1.75,11.73,44.42,25.99,37.1,52.03,7.19,13.25,9.41,3.87,21.93,-1.38,2.8,3.49,6.2,2.28,19.97,32.81,116.08,13.66,25.23,7.34,100.97,1.15,9.99,35.75,15.01,9.26,28.02,10.2,10.88,6.64,10.63,9.66,9.03,54.33,33.66,1.73,161.04,153.34,10.87,28.08,13.3,15.64,41.47,31.14,71.34,72.82,116.07,30.05,13.35,10.54,16.83,15.19,4.01,23.16,5.8,1.55,150.89,159.96,13.26,20.57,10.57,26.95,29.72,,,,,,,,,
2023-04-05 03:30,18.14,14,136.76,1.49,92.98,121.46,106.8,18.05,1.29,1.34,14.83,172.64,157.16,133.11,6.31,67.47,0.36,13.08,-12.53,0,10.56,30.69,6.33,0,0,0,0,0,11.88,5.12,8.41,8.11,0,33.37,1.07,24.03,119,7.95,6.37,2.25,12.76,31.67,13.5,-19.84,19.36,22.66,19.37,21.77,216.44,81.11,52.07,29.53,13.85,121.11,5.85,82.67,28.95,4.36,0.21,0.21,84.92,19.55,31.95,13.96,91.4,0,24.64,2.04,37.39,4.64,28.89,51.41,1.78,-17.21,18.52,12.67,11.08,69.63,-9.74,44.11,43.22,8.84,75.98,52.55,36.04,10.65,0.92,17.6,30.25,40.02,22.77,2.38,3.57,25.05,9.06,0,-1.14,8.02,103.61,37.61,53.89,1.99,11.24,45.34,22.1,39.82,49.67,7.2,13.51,7.41,3.63,23.13,-1.17,3.25,3.48,5.32,1.58,20.23,32.29,126.25,14.2,24.92,7.03,99.5,1.62,11.48,36.94,15,9.02,27.01,10.15,11.02,6.84,10.86,9.6,8.82,54.39,33.59,1.87,157.13,145.71,9.87,28.14,13.93,15.46,41.16,31.69,71.83,62.81,120.21,31,13.47,10.34,17.02,12.99,3.27,23.02,5.91,1.8,150.49,160.92,12.8,19.88,10.48,30.21,29.69,,,,,,,,,
2023-04-05 04:00,18.28,13.52,127.64,1.43,92.47,123.1,109.06,17.9,1.42,1.41,14.96,171.32,156,130.43,6.23,70.67,0.34,14.06,-13.68,0,10.64,30.11,6.06,0,0,0,0,0,11.96,5.29,8.55,8.01,0,34.08,1.1,22.64,155.78,8.59,6.52,2.96,13.47,31.48,13.95,-17.71,19.38,22.47,17.99,22.29,215.42,79.92,51.04,28.94,13.69,121.42,6.47,55.27,32.51,6.04,0.05,0.46,87.35,19.71,32.94,14.13,90.24,0,22.56,2.14,39.82,4.38,29.8,51.11,2,-17.34,20.1,12.44,11.09,69.7,-9.88,45,42.35,8.85,75.55,52.42,36.16,10.61,1,17.26,29.81,40.5,22.26,2.34,3.53,24.88,9.82,0,-2.18,8.29,103.61,37.84,51.47,2.02,11.91,44.73,21.09,39.47,49.51,7.06,13.48,15.8,3.69,23.27,-0.95,2.79,3.81,5.67,1.56,20.69,32.21,131.41,15.3,25.18,7.31,95.75,0.87,11.69,35.98,14.83,8.92,26.93,10.29,10,6.73,12.54,9.5,7.83,54.3,33.42,1.87,155.91,144.78,9.99,27.55,12.39,15.5,40.7,31.56,69.35,63.96,122.91,30.84,13.1,10.84,16.92,13.12,2.98,23.26,6.02,1.51,147.5,160.3,13.12,18.62,10.67,29.03,29.88,,,,,,,,,
2023-04-05 04:30,17.44,13.47,151.88,1.62,93.64,119.35,100.35,16.31,1.33,1.2,15.18,171.48,150.75,133.39,6.45,74.5,0.4,14.32,-13.1,0,9.91,29.52,5.93,0,0,0,0,0,10.52,5.05,7.9,7.89,0,34.01,0.89,23.63,118.76,8.04,6.65,3.28,12.41,32.57,13.42,-10.27,19.42,22.39,18.86,23.24,218.05,80.57,51,30.57,14.01,121,6.45,35.7,29.09,5.16,0.65,0.79,87.76,19.96,32.01,14.06,86.44,0,23.08,2.28,40.33,4.37,30.16,54.11,2.34,-16.73,18.16,11.22,11.39,68.57,-9.08,45.16,43.28,8.87,76.01,52.66,36.83,10.85,1.04,18.54,30.83,40.83,23.11,2.14,3.71,25.41,9.96,0,-0.78,8.93,103.61,34.59,48.94,1.93,11.73,44.51,19.99,39.23,52.15,7.09,12.83,12.15,3.91,23.65,-1.07,2.84,3.79,5.28,2.2,20.11,32.25,129.46,14.26,25.34,7.14,97.74,1.09,11.36,35.63,14.98,9.08,26.57,10.55,9.29,6.6,13,9.48,8.14,53.87,33.22,1.83,157.93,150.16,9.81,27.42,14.39,15.89,40.83,31.55,70.17,65.34,122.53,30.5,13.43,10.34,17.24,13.59,3.43,23.27,6.11,1.63,148.02,162.92,13.54,17.33,10.95,28.58,30.19,,,,,,,,,
2023-04-05 05:00,18.17,13.6,37.54,1.46,93.1,121.9,106.52,19.24,1.39,1.3,15.45,175.54,156.84,135.04,6.8,80.05,0.38,15.12,-13.67,0,10.02,28.48,6.17,0,0,0,0,0,10.4,5.95,8.36,7.96,0,34.31,2.39,20.14,156.59,8.61,6.41,1.85,14.01,33.32,13.19,6.37,19.42,22.36,18.1,23.05,218.55,80.31,50.03,27.96,14.77,121.98,6.37,66.65,32.06,5.19,0.64,0.48,89.2,19.49,31.7,14.36,86.82,0,21.85,1.22,40.04,4.64,29.09,54.27,2.74,-17.39,12.15,11.69,11.57,69.68,-8.5,47.26,44.28,8.52,79.23,53.87,37.53,11.2,1.2,19.35,30.94,40.9,22.54,1.97,3.78,25.08,9.47,0,-0.63,9.4,103.61,35.02,53.49,1.81,11.37,45.34,20.73,41.28,45.91,7.06,14.86,13.61,4.26,24.92,-1.23,3.29,4.17,5.21,1.58,20.86,33.61,127.41,14.14,24.64,6.88,97.43,2.21,13.01,35.26,15.33,9.16,27.3,10.66,9.6,7.75,13.17,9.79,11.28,54.87,34.67,1.55,161.03,151.41,9.53,27.09,14.25,17.04,41.37,31.61,69.72,67.01,110.89,32.37,12.87,9.86,17.68,13.76,3,23.78,5.57,1.74,154.99,162.23,14.37,17.06,11.17,28.52,30.68,,,,,,,,,
