fecha_hora,5Mananti,Abancay,AceArequ,Aguaytia,AltoPrad,Antamina,Antapacc,Asia,Aucayacu,Ayaviri,Azangaro,Balneari,Bambas,Barsi,Bellavis,Botiflac,CHArico1,CHGallCi,CHLaVirg,CHMalpas,CHMoyopa,CHPachac,CHYaupi,CTChilc1,CTFenix,CTIlo1,CTIlo2,CTKallpa,CTMalaca,CTOllero,CTSanNic,CTTumbes,CTVentan,Cachimay,Caclic,CajamNor,Cajamarq,Callalli,Camana,CampArmi,Cantera,Carabayl,Carhuam,Carhuaqu,CemPiura,CerrCoro,CerrVer2,Challapa,Chavarri,ChiclayO,Chilca,ChilcaNu,Chilina,Chillon,Chilota,Chimbot1,ChimbotS,Colcabam,Combapat,Condorco,Constanc,Cotaruse,Desierto,Doloresp,ElHierro,Etanol,Francois,Gloria,Guadalup,Heroes,Hidromet,Huachipa,Huacho,HuallaNu,Huallanc,Huancave,Huanuco,Huaranga,Huayucac,Ica,Ilo1,IloELS,Independ,Industri,Ingenier,Jesus,Juanjui,Juliaca,KimAyllu,LaBrea,LaNina,LaQuinua,LaRamada,Lixiviac,Lomera,Machala,Machupic,Majes,Malvinas,Manchay,Marcona,Mazuko,MedMundo,Millsite,Milpo,Mirador,MnaJusta,Mollendo,Mollepat,Moquegua,Moyobamb,Nana,Orcotuna,OroyaNu,OxiCerro,PaHonda,PaIndELS,PaIndSEA,Pachacut,Papujune,Paragsh1,ParamExi,ParamoNu,PiuraOes,PlantZ,Plaza,Pomacoch,Progreso,PtoMaldo,Pucallpa,Puno,PushBack,QuebHond,Quencoro,Refineri,Repartic,SLuisLDS,Salamanc,SanGaban,SanJuan,SanLuis,SanMigue,SanRafae,Sauces,Socabaya,StaAnita,StaClara,StaRosAn,StaRosNu,Sulfuros,Tacna,TacnaEDN,Talta,Tarapoto,TierraNu,TingMari,Tintaya,Tocache,Tomasi,Toromoch,TrujiNor,TrujilNu,Uchuccha,Yarabamb,Yura,Zorritos,TALARA,Chincha,index,Cahuachi,Valledel,Cutervo,HuarazO,GE1,CTRefTal
2023-04-08 00:30:00,20.12,14.11,158.94,1.42,83.77,125.36,109.81,27.64,1.38,1.01,8.62,192.23,155.01,136.81,4.8,76.9,0.37,16.27,-12.3,0.0,12.07,28.51,7.17,0.0,0.0,0.0,0.0,0.0,11.2,3.38,8.31,6.04,0.0,34.69,2.65,28.49,195.99,8.66,6.6,2.83,18.64,0.0,15.85,-7.21,19.68,23.33,22.86,19.04,225.41,74.62,51.63,33.08,15.27,125.24,5.59,62.33,30.67,4.7,0.52,-0.21,86.45,25.99,32.26,15.34,95.72,0.0,29.1,8.18,25.28,4.58,29.13,36.86,6.67,-17.49,-1.02,15.56,13.35,68.26,-6.5,48.01,43.33,7.99,62.69,34.04,18.86,11.98,0.72,17.6,29.82,40.98,18.9,2.81,3.76,25.32,2.37,0.0,-1.04,8.44,95.44,34.65,50.79,1.99,12.59,44.08,22.77,38.16,48.27,6.8,16.81,10.6,3.25,20.93,-0.45,4.31,3.17,4.7,1.24,13.76,37.96,117.73,13.7,23.84,5.04,74.18,0.6,65.42,36.47,18.28,9.72,23.31,11.49,10.11,8.38,13.17,10.52,-1.54,56.25,28.3,2.91,149.28,299.36,8.24,27.94,5.33,14.52,39.25,27.22,66.73,62.9,127.84,30.03,13.71,11.98,18.44,11.06,3.31,24.8,6.75,1.59,160.5,160.58,8.96,15.59,11.23,31.21,28.3,,,,,,,,,
2023-04-08 01:00:00,19.19,14.16,65.16,1.5,81.15,121.98,106.96,27.96,1.3,0.93,8.26,184.3,145.03,128.44,4.78,80.14,0.27,15.97,-12.01,0.0,11.93,27.95,7.1,0.0,0.0,0.0,0.0,0.0,11.56,3.08,8.52,5.92,0.0,34.47,2.2,29.39,201.48,8.43,6.41,2.58,19.43,0.0,15.11,-8.2,19.53,23.42,21.85,18.35,213.88,69.77,48.75,31.97,14.56,120.7,6.94,86.04,28.56,5.26,0.3,-0.75,86.27,27.41,33.55,14.08,93.3,0.0,29.31,8.56,28.0,4.56,29.47,36.64,4.77,-17.1,-2.18,15.99,12.62,67.17,-7.6,47.11,43.71,7.61,79.96,32.63,18.05,11.26,0.8,17.4,29.23,40.71,18.95,2.75,4.46,24.64,0.46,0.0,-0.96,8.23,93.16,33.45,44.73,1.75,11.44,42.08,22.77,37.5,52.72,6.72,16.02,7.5,3.0,19.8,-0.63,4.78,3.13,5.64,1.21,13.64,35.87,113.02,14.34,21.31,5.47,69.91,1.36,63.3,34.13,17.42,9.34,22.61,11.34,12.32,8.53,11.39,10.66,-1.72,54.64,27.03,3.21,141.72,299.6,8.49,27.45,5.15,14.32,38.08,25.97,64.87,57.3,128.92,29.28,13.53,11.44,17.19,11.11,2.93,24.25,6.32,1.63,137.55,154.31,8.82,15.59,10.97,31.77,27.64,,,,,,,,,
2023-04-08 01:30:00,20.47,13.8,149.24,1.55,79.54,118.11,115.41,27.15,1.38,1.02,7.89,180.09,142.0,126.86,4.56,77.91,0.24,15.55,-12.36,0.0,11.36,27.19,6.55,0.0,0.0,0.0,0.0,0.0,10.64,2.93,8.38,5.74,0.0,34.37,3.3,28.79,200.97,8.2,6.23,2.82,15.22,0.0,15.06,-9.49,18.94,23.49,21.46,17.85,202.13,67.67,47.02,32.31,13.78,115.28,6.07,73.8,27.72,6.29,-0.08,-0.96,87.28,28.31,35.56,14.03,87.78,0.0,30.54,7.94,25.56,4.68,29.63,35.25,4.27,-17.22,-1.6,16.01,11.91,64.58,-8.56,46.67,43.06,7.35,77.37,30.6,17.2,10.71,0.92,16.78,32.51,40.7,18.91,2.98,3.5,24.96,6.11,0.0,-2.74,7.48,88.48,32.61,44.32,1.68,11.89,43.94,19.69,36.24,43.84,6.7,15.4,4.25,3.05,19.54,-0.22,4.07,3.57,4.46,1.21,12.88,34.36,114.43,14.56,24.06,4.96,65.21,0.76,65.41,37.49,15.18,9.15,22.27,10.84,8.98,8.55,10.02,10.18,-2.01,52.93,25.73,2.84,138.26,300.15,8.3,28.0,5.31,13.68,35.31,25.16,61.64,54.02,128.06,28.85,13.04,12.04,16.71,10.29,3.27,23.99,5.93,1.83,129.21,154.38,10.77,15.92,11.73,34.77,26.67,,,,,,,,,
2023-04-08 02:00:00,20.2,13.36,153.92,1.41,79.42,124.74,108.37,25.95,1.02,1.26,8.45,174.7,154.71,120.88,4.49,77.46,0.27,15.13,-12.04,0.0,11.3,28.07,7.11,0.0,0.0,0.0,0.0,0.0,10.36,2.87,7.94,5.86,0.0,33.99,1.84,26.35,202.23,7.89,6.25,2.61,17.06,0.0,14.93,-4.78,19.02,23.53,21.63,17.53,198.39,65.21,48.57,32.27,13.49,113.53,5.81,80.68,28.97,4.91,-0.12,-0.85,86.28,26.95,34.94,13.38,93.04,0.0,30.08,7.86,32.46,4.57,29.47,34.54,2.33,-17.39,-2.58,14.87,11.51,63.66,-9.22,45.95,43.04,7.1,78.27,30.78,16.95,10.31,0.8,17.1,31.89,41.09,16.89,2.86,2.8,25.07,4.07,0.0,-1.47,7.16,88.48,31.86,46.64,1.56,11.15,44.42,22.18,33.22,43.51,6.39,14.9,10.09,2.42,18.61,-0.71,4.87,3.46,4.81,1.12,13.42,32.02,121.62,14.66,23.15,6.04,63.63,1.83,63.78,35.82,14.21,9.05,21.59,10.78,4.37,8.16,9.67,10.05,-1.84,52.35,24.96,1.87,133.47,298.3,8.06,27.62,5.79,13.37,34.37,24.91,58.97,50.77,128.74,28.27,12.68,11.34,16.27,9.34,2.65,24.32,5.82,1.59,143.21,148.97,9.51,16.4,11.44,35.2,26.26,,,,,,,,,
2023-04-08 02:30:00,19.59,14.26,168.4,1.47,77.98,120.36,105.73,24.8,1.17,1.24,8.77,171.13,152.8,119.48,4.53,69.35,0.22,15.11,-11.65,0.0,10.65,28.84,6.14,0.0,0.0,0.0,0.0,0.0,10.0,4.35,8.19,5.86,0.0,32.23,2.57,28.26,199.15,8.12,6.27,3.37,17.04,0.0,15.5,-8.92,19.18,23.04,22.91,17.58,192.7,62.93,45.86,32.52,13.12,110.43,6.6,42.71,27.81,6.13,-0.13,-1.18,86.67,25.92,37.88,11.44,91.34,0.0,29.97,9.04,32.75,4.64,29.22,37.2,2.9,-17.17,-2.8,15.73,11.4,61.78,-9.5,44.41,43.21,6.68,75.98,30.29,16.77,10.0,0.96,17.4,30.94,41.21,18.65,2.91,3.99,23.36,3.98,0.0,-1.9,7.6,83.88,28.4,51.55,1.68,11.64,43.32,22.96,37.08,46.08,6.5,14.8,10.35,2.65,18.26,-0.41,4.48,3.1,4.54,1.11,13.72,31.17,113.78,14.64,21.85,6.37,62.11,1.26,63.05,36.27,13.8,8.92,21.63,10.82,4.16,8.01,10.2,10.1,-1.59,51.66,24.88,3.74,133.94,295.12,8.18,27.58,5.93,13.2,33.89,24.38,58.24,47.29,126.24,28.29,12.73,11.72,15.99,10.45,2.92,24.75,5.87,1.74,151.34,147.7,9.75,17.66,11.85,34.44,26.41,,,,,,,,,
2023-04-08 03:00:00,21.07,13.97,169.36,1.42,77.67,117.91,99.72,25.84,1.36,1.34,8.48,168.68,154.75,113.73,4.52,76.01,0.37,14.93,-13.63,0.0,10.63,27.93,6.54,0.0,0.0,0.0,0.0,0.0,9.96,3.62,7.69,5.92,0.0,32.15,1.82,29.04,205.93,8.22,6.15,2.02,16.93,0.0,15.41,-8.93,18.91,23.22,21.13,16.97,185.75,60.72,44.89,32.66,13.5,108.41,6.64,67.35,28.1,5.26,-0.31,-0.8,85.45,26.02,32.62,11.87,94.84,0.0,30.15,8.8,33.86,4.45,30.24,36.6,3.6,-17.35,-3.62,15.6,11.14,60.34,-9.72,45.64,44.5,6.76,78.01,29.53,16.91,9.76,0.88,17.11,32.81,40.92,18.88,2.98,3.98,23.91,2.33,0.0,-2.18,7.32,83.88,28.7,52.39,1.46,10.72,43.44,22.03,34.22,44.76,6.72,14.39,10.73,2.28,18.19,-0.65,4.72,3.57,5.16,1.04,14.38,30.38,119.25,14.58,21.61,5.75,58.79,1.19,66.21,38.22,13.51,8.78,21.39,10.33,11.04,7.58,10.15,9.85,-1.73,51.35,24.18,3.48,131.05,296.8,8.43,28.33,6.17,13.12,33.19,23.66,57.88,47.22,126.98,27.66,12.82,11.9,15.88,11.08,2.65,24.92,5.45,1.04,151.62,144.08,9.56,17.63,11.12,35.46,26.04,,,,,,,,,
2023-04-08 03:30:00,18.38,14.29,53.56,1.14,75.68,119.52,102.99,27.03,1.18,0.92,8.62,166.02,155.09,115.66,4.45,67.18,0.33,14.77,-11.52,0.0,10.13,27.87,5.9,0.0,0.0,0.0,0.0,0.0,9.8,3.37,7.99,5.8,0.0,32.26,1.95,26.82,204.33,8.23,6.06,2.77,16.96,0.0,15.11,-9.06,19.48,23.61,20.98,17.0,182.95,60.06,44.65,30.81,13.42,107.1,6.18,82.05,27.33,5.59,-0.28,-1.0,83.87,26.52,35.72,11.53,90.86,0.0,28.72,8.58,33.69,4.67,28.67,35.77,2.32,-16.92,-2.76,15.46,11.06,59.64,-9.64,43.8,45.13,6.75,78.08,29.7,16.78,9.78,0.84,17.34,32.88,40.93,18.46,2.87,4.3,25.48,2.14,0.0,-2.48,7.61,83.88,29.6,51.98,1.58,10.3,44.03,20.95,34.14,45.18,6.52,14.25,7.73,2.35,19.34,-0.69,4.11,3.36,5.01,1.06,13.78,30.07,113.59,15.12,23.07,5.34,57.22,1.18,64.37,37.22,13.37,8.53,21.42,10.52,9.47,6.78,10.33,9.89,-1.5,50.82,24.07,3.64,126.87,294.61,8.64,27.99,6.04,13.03,33.02,23.7,55.19,46.42,130.15,28.44,12.35,11.84,15.55,10.36,3.01,24.8,5.48,1.62,152.67,141.37,9.94,15.68,11.85,34.44,26.86,,,,,,,,,
2023-04-08 04:00:00,19.7,14.74,44.89,1.17,76.1,111.06,102.27,26.73,1.08,1.27,8.93,164.83,156.94,112.94,4.15,64.43,0.28,15.43,-12.98,0.0,9.62,27.97,7.58,0.0,0.0,0.0,0.0,0.0,9.88,6.01,7.93,5.44,0.0,32.08,1.97,26.41,200.0,8.43,6.08,3.09,17.0,0.0,14.74,-6.96,18.88,23.13,21.23,17.52,184.7,59.28,45.25,32.04,13.3,108.15,6.97,75.6,26.37,6.07,-0.2,-1.67,82.92,26.96,35.78,11.89,90.98,0.0,30.94,8.24,34.29,4.63,29.33,35.68,0.26,-17.2,-3.77,15.52,11.09,60.46,-9.1,45.63,43.18,6.59,78.2,28.79,16.85,9.55,0.68,17.38,32.55,41.16,17.45,2.63,3.98,25.99,6.08,0.0,-1.53,7.89,83.88,29.27,48.23,1.55,11.43,44.61,19.58,32.74,46.5,6.47,14.49,6.03,2.1,18.97,-0.77,5.0,3.49,4.58,1.05,13.69,29.91,112.7,15.06,24.18,6.31,57.65,1.73,64.04,35.64,13.02,8.63,21.33,10.41,7.97,6.93,11.91,10.04,-1.31,50.82,24.22,2.17,127.12,300.4,8.48,27.62,6.29,13.26,32.96,23.3,54.98,46.48,131.84,28.62,12.46,12.62,15.3,8.84,3.55,25.44,5.72,1.78,155.41,141.32,10.35,16.58,11.44,33.33,27.04,,,,,,,,,
2023-04-08 04:30:00,21.48,13.74,40.49,1.26,76.47,106.21,103.96,26.03,1.17,1.28,8.66,164.18,152.61,115.53,4.62,68.67,0.31,15.07,-13.89,0.0,9.71,28.31,5.94,0.0,0.0,0.0,0.0,0.0,10.0,6.24,7.69,5.5,0.0,33.94,2.08,27.52,199.19,8.1,6.34,3.12,16.63,0.0,14.25,-8.16,19.1,23.65,21.1,17.88,186.33,59.29,44.61,32.95,13.56,108.1,6.63,66.69,27.18,6.89,-0.27,-1.25,85.8,27.72,34.09,12.54,90.92,0.0,30.37,8.72,32.85,4.47,29.43,35.89,1.26,-16.16,-3.98,14.92,11.03,60.25,-9.22,45.2,43.24,6.43,79.82,29.61,16.8,9.74,0.88,17.95,32.44,41.15,18.92,2.97,4.13,25.9,5.02,0.0,-1.71,8.63,83.88,29.45,47.81,1.59,9.02,43.85,19.56,31.85,48.11,6.54,14.83,9.67,2.33,19.38,-0.17,5.13,4.1,5.15,1.04,13.86,30.28,115.76,15.34,24.76,5.88,58.05,1.64,67.26,33.17,12.92,8.73,21.41,10.59,12.16,8.99,13.18,10.08,-1.1,50.7,24.1,2.28,128.33,289.86,8.27,26.78,5.98,13.35,32.87,23.27,57.08,48.12,131.71,28.27,12.34,11.2,15.28,9.05,2.47,25.04,5.8,1.48,157.88,140.68,10.51,16.01,11.15,35.2,28.06,,,,,,,,,
2023-04-08 05:00:00,20.38,13.84,33.82,1.09,76.47,99.09,103.09,25.25,1.06,1.38,9.01,165.41,153.37,115.84,4.47,81.2,0.33,14.79,-12.37,0.0,9.73,29.21,6.35,0.0,0.0,0.0,0.0,0.0,9.96,6.51,7.43,5.59,0.0,34.1,0.93,26.52,198.34,8.16,6.28,3.14,17.74,0.0,15.08,-8.38,18.94,23.93,20.61,18.22,186.85,59.96,45.08,32.9,13.77,108.41,6.5,42.72,26.87,5.6,-0.1,-1.07,86.38,28.04,34.37,12.76,93.28,0.0,26.69,8.62,34.13,4.6,29.7,34.03,2.4,-17.34,-3.63,14.14,11.24,59.62,-8.48,46.4,43.22,6.57,80.07,31.08,16.99,9.81,0.92,18.17,31.65,41.13,18.03,2.8,3.88,23.83,5.01,0.0,-2.27,8.91,83.88,29.75,48.63,1.57,10.92,44.05,20.74,32.47,49.24,6.55,15.26,5.57,2.51,19.74,-0.07,5.2,3.62,4.58,1.07,14.3,30.66,114.46,15.8,21.01,6.0,58.2,1.99,67.22,32.82,13.09,8.8,21.7,10.87,9.3,8.43,13.38,10.45,-0.4,50.98,24.68,2.61,130.46,296.19,7.52,26.37,6.4,13.65,33.37,24.28,57.48,46.97,131.24,29.56,12.44,11.04,15.7,10.98,2.8,24.47,5.67,1.6,158.96,142.68,9.61,16.37,11.25,33.82,29.07,,,,,,,,,
