fecha_hora,5Mananti,Abancay,AceArequ,Aguaytia,AltoPrad,Antamina,Antapacc,Asia,Aucayacu,Ayaviri,Azangaro,Balneari,Bambas,Barsi,Bellavis,Botiflac,CHArico1,CHGallCi,CHLaVirg,CHMalpas,CHMoyopa,CHPachac,CHYaupi,CTChilc1,CTFenix,CTIlo1,CTIlo2,CTKallpa,CTMalaca,CTOllero,CTSanNic,CTTumbes,CTVentan,Cachimay,Caclic,CajamNor,Cajamarq,Callalli,Camana,CampArmi,Cantera,Carabayl,Carhuam,Carhuaqu,CemPiura,CerrCoro,CerrVer2,Challapa,Chavarri,ChiclayO,Chilca,ChilcaNu,Chilina,Chillon,Chilota,Chimbot1,ChimbotS,Colcabam,Combapat,Condorco,Constanc,Cotaruse,Desierto,Doloresp,ElHierro,Etanol,Francois,Gloria,Guadalup,Heroes,Hidromet,Huachipa,Huacho,HuallaNu,Huallanc,Huancave,Huanuco,Huaranga,Huayucac,Ica,Ilo1,IloELS,Independ,Industri,Ingenier,Jesus,Juanjui,Juliaca,KimAyllu,LaBrea,LaNina,LaQuinua,LaRamada,Lixiviac,Lomera,Machala,Machupic,Majes,Malvinas,Manchay,Marcona,Mazuko,MedMundo,Millsite,Milpo,Mirador,MnaJusta,Mollendo,Mollepat,Moquegua,Moyobamb,Nana,Orcotuna,OroyaNu,OxiCerro,PaHonda,PaIndELS,PaIndSEA,Pachacut,Papujune,Paragsh1,ParamExi,ParamoNu,PiuraOes,PlantZ,Plaza,Pomacoch,Progreso,PtoMaldo,Pucallpa,Puno,PushBack,QuebHond,Quencoro,Refineri,Repartic,SLuisLDS,Salamanc,SanGaban,SanJuan,SanLuis,SanMigue,SanRafae,Sauces,Socabaya,StaAnita,StaClara,StaRosAn,StaRosNu,Sulfuros,Tacna,TacnaEDN,Talta,Tarapoto,TierraNu,TingMari,Tintaya,Tocache,Tomasi,Toromoch,TrujiNor,TrujilNu,Uchuccha,Yarabamb,Yura,Zorritos,TALARA,Chincha,index,Cahuachi,Valledel,Cutervo,HuarazO,GE1,CTRefTal
2023-04-07 00:30:00,19.25,14.88,162.79,1.34,87.93,118.91,105.9,28.06,1.73,1.12,9.68,193.89,161.14,138.2,6.37,81.99,0.23,16.63,-12.09,0.0,12.58,30.43,7.96,0.0,0.0,0.0,0.0,0.0,11.24,5.87,8.64,6.96,0.0,34.27,2.61,28.37,196.72,8.3,6.68,3.41,15.26,29.7,10.69,8.16,1.79,22.87,25.99,20.13,230.89,90.62,56.53,32.76,16.3,131.9,6.6,77.21,32.24,5.45,0.79,-5.38,86.67,25.84,32.46,14.92,92.26,0.0,30.39,-1.78,32.45,4.5,29.45,38.69,2.68,-17.01,1.4,13.74,13.67,75.19,-5.94,50.6,44.15,8.34,63.1,44.6,17.25,12.31,0.96,19.02,30.1,42.55,15.79,2.71,3.67,25.77,7.99,0.0,-2.16,7.93,101.93,43.27,49.0,1.79,13.18,42.43,24.96,50.44,50.4,7.2,16.87,10.2,2.38,21.44,-0.07,5.14,3.81,5.53,1.31,18.19,38.69,132.15,18.6,26.03,8.54,76.65,1.67,65.86,33.88,18.58,9.44,28.85,11.42,12.17,8.24,14.05,10.51,6.5,59.17,30.75,1.78,164.33,286.5,8.17,28.18,7.51,15.0,41.82,30.14,74.23,60.78,125.23,30.35,13.95,10.6,20.84,12.42,3.6,24.66,6.59,1.65,157.65,164.73,10.68,15.02,10.76,29.4,26.62,,,,,,,,,
2023-04-07 01:00:00,17.87,13.94,147.52,1.41,85.96,121.7,106.47,27.98,1.55,1.29,8.7,184.01,157.48,132.89,6.61,87.52,0.24,16.03,-13.36,0.0,11.82,30.2,7.33,0.0,0.0,0.0,0.0,0.0,10.68,7.59,7.82,6.66,0.0,34.18,2.52,27.51,198.34,9.05,6.57,3.68,14.78,29.52,11.6,6.54,1.85,22.75,23.31,19.21,219.01,85.31,54.25,33.56,15.35,124.99,6.65,41.79,30.65,5.57,0.24,-5.3,86.48,26.86,31.75,13.84,92.82,0.0,30.87,-1.88,34.56,4.57,29.74,37.19,3.02,-17.23,2.01,13.46,12.82,70.83,-7.32,50.68,44.18,7.69,81.78,43.06,17.72,11.57,0.96,18.34,30.72,41.88,14.14,2.71,3.75,24.52,9.13,0.0,-2.05,7.81,97.06,41.2,47.43,1.71,14.9,42.1,21.94,47.53,51.89,6.98,15.89,8.87,3.14,20.28,-0.52,4.1,3.57,4.87,1.26,16.91,36.78,140.56,18.0,25.6,8.31,72.16,0.84,64.8,36.16,17.91,9.13,27.41,11.41,9.88,8.05,11.64,10.53,6.53,57.5,29.8,1.54,157.28,291.06,7.99,27.02,7.68,13.68,40.53,28.74,70.65,62.52,129.55,29.52,13.47,10.28,19.88,12.15,3.47,23.96,5.72,1.64,157.37,160.37,10.6,15.98,10.5,28.32,25.62,,,,,,,,,
2023-04-07 01:30:00,18.98,13.77,53.92,1.29,84.65,120.89,106.81,29.07,1.36,1.4,9.63,178.74,159.6,129.42,6.33,83.11,0.1,15.85,-13.48,0.0,11.66,31.01,7.19,0.0,0.0,0.0,0.0,0.0,10.28,6.55,8.65,6.54,0.0,34.06,1.73,28.07,201.74,8.43,6.33,4.05,14.51,30.55,10.79,7.06,3.1,22.61,25.03,18.9,214.84,82.75,54.37,32.99,14.82,123.8,6.53,75.89,30.26,5.56,0.56,-5.06,86.51,27.36,32.19,12.97,92.34,0.0,29.44,-1.6,35.91,4.53,28.78,34.92,1.86,-17.55,-0.38,13.56,12.3,68.92,-7.96,48.95,45.55,7.78,78.82,42.4,16.78,10.85,0.88,18.34,29.89,41.57,14.56,2.85,3.67,23.16,6.67,0.0,-0.52,7.49,97.06,41.53,46.47,1.79,12.37,43.87,23.52,40.75,44.86,6.88,15.54,8.2,2.86,19.96,-0.33,4.68,3.85,5.18,1.26,16.45,34.9,138.33,18.02,25.21,7.31,71.52,1.73,66.01,37.12,16.75,8.92,26.76,11.28,10.94,8.03,11.69,10.31,6.11,55.7,28.57,2.05,151.26,286.03,7.48,27.44,6.98,13.96,39.44,28.0,68.29,60.46,132.92,29.03,13.24,9.88,19.27,11.86,2.98,24.03,5.65,1.61,157.15,156.79,11.37,15.08,11.2,28.14,25.35,,,,,,,,,
2023-04-07 02:00:00,17.94,15.23,167.68,1.19,83.04,120.94,104.23,26.45,1.6,1.17,8.98,172.41,156.86,122.86,6.01,79.6,0.33,14.79,-13.83,0.0,11.06,28.61,6.98,0.0,0.0,0.0,0.0,0.0,10.24,4.61,8.0,6.59,0.0,31.94,1.98,27.77,198.42,8.06,6.42,3.01,14.4,29.84,10.49,3.77,6.0,22.99,24.6,18.6,202.03,81.26,51.46,33.02,14.45,121.97,6.71,41.32,29.95,6.84,0.15,-5.54,85.87,27.36,33.82,12.53,87.48,0.0,29.68,-1.84,36.38,4.34,29.02,36.83,1.62,-17.36,-0.64,13.79,11.5,67.86,-8.8,47.07,45.51,7.58,78.36,41.75,17.73,10.39,0.96,17.65,30.92,40.5,13.13,2.39,4.14,23.39,9.14,0.0,2.32,7.19,92.28,38.13,49.26,1.73,13.03,44.24,23.95,42.59,42.91,6.62,14.86,6.04,2.39,18.91,-0.74,2.36,4.04,5.04,1.17,16.3,33.73,132.3,18.32,27.44,8.25,70.92,-0.56,66.36,36.73,16.04,8.72,26.25,11.09,5.21,7.8,10.01,10.36,6.55,53.94,27.73,2.01,145.17,286.14,7.44,27.45,7.53,13.3,38.2,27.21,66.01,58.68,130.81,28.27,12.56,10.92,18.78,12.18,3.49,23.94,5.28,1.45,160.06,152.53,11.01,15.23,11.32,28.34,25.19,,,,,,,,,
2023-04-07 02:30:00,16.48,15.02,110.72,1.27,81.53,129.33,104.46,26.74,1.59,1.07,9.34,168.56,152.6,121.85,6.09,83.24,0.32,15.66,-12.78,0.0,10.62,28.04,5.58,0.0,0.0,0.0,0.0,0.0,10.32,4.08,7.83,6.45,0.0,31.99,0.99,27.16,199.82,8.76,6.51,2.49,13.38,29.26,11.05,3.65,6.03,22.87,23.37,18.4,194.06,79.76,48.92,31.03,14.05,118.24,6.55,84.46,27.82,5.25,0.17,0.95,85.16,25.98,31.87,12.21,85.72,0.0,27.79,-2.04,36.86,4.65,29.07,37.54,1.66,-17.33,-2.27,13.76,10.97,66.39,-9.02,48.01,43.87,7.21,79.15,40.81,17.79,10.1,0.92,18.41,30.18,39.21,13.51,2.89,3.46,23.46,9.12,0.0,-2.49,7.45,87.68,36.94,46.88,1.56,10.6,43.91,20.93,43.34,41.93,6.51,14.27,9.78,2.65,18.57,-0.42,4.16,4.06,5.27,1.16,16.1,32.78,133.86,18.4,24.05,8.42,68.98,1.06,63.86,36.64,15.67,8.58,25.72,10.83,4.0,7.66,9.68,10.14,2.94,52.93,27.09,1.35,144.31,294.06,7.06,26.68,7.24,13.15,37.42,26.93,64.03,52.39,129.77,28.85,12.56,10.38,18.36,11.08,2.7,24.56,5.18,1.83,159.86,150.47,10.48,14.39,12.2,28.47,25.46,,,,,,,,,
2023-04-07 03:00:00,16.0,15.03,148.21,1.06,80.83,126.51,105.18,26.94,1.45,1.02,8.81,165.41,155.46,121.25,6.0,85.05,0.23,15.55,-13.09,0.0,10.83,29.47,6.21,0.0,0.0,0.0,0.0,0.0,10.24,4.23,7.91,6.23,0.0,32.05,2.43,25.9,198.11,9.15,6.49,2.92,12.97,29.6,10.63,3.75,6.03,22.65,23.73,17.85,189.35,77.21,47.44,32.68,13.82,117.49,6.49,37.63,28.14,5.31,0.12,0.87,86.06,25.74,33.02,12.21,88.82,0.0,32.06,-2.24,37.32,4.47,28.52,39.43,1.46,-17.59,-1.48,13.45,11.06,65.93,-9.42,45.49,43.95,7.03,78.78,39.6,18.0,9.94,0.88,18.34,31.81,39.7,13.43,2.47,3.17,23.98,8.16,0.0,-2.02,7.51,87.68,34.26,48.38,1.61,11.53,43.56,23.49,42.41,42.34,6.62,12.11,12.15,2.56,18.53,-0.41,4.64,3.55,4.81,1.13,16.04,32.23,134.78,20.64,22.74,7.65,68.0,1.23,63.58,34.61,15.12,8.46,25.34,10.23,11.57,7.9,9.4,10.01,2.53,52.17,26.33,1.92,144.61,288.45,7.83,27.78,7.01,12.77,36.59,26.36,62.63,50.0,123.77,28.48,12.32,11.48,18.13,11.89,2.81,24.56,5.25,1.62,155.95,149.71,11.0,16.04,11.06,27.63,25.63,,,,,,,,,
2023-04-07 03:30:00,16.52,14.84,146.92,1.14,79.99,127.86,107.89,27.06,1.47,1.03,9.22,163.58,158.05,118.79,5.99,70.92,0.27,15.24,-12.79,0.0,10.79,31.3,6.68,0.0,0.0,0.0,0.0,0.0,10.36,3.85,8.44,6.48,0.0,31.95,1.77,25.72,199.49,8.93,6.37,2.86,14.14,29.98,10.52,7.18,5.88,22.6,24.68,17.9,189.65,77.26,48.95,31.84,13.68,115.89,6.05,72.16,27.34,5.76,0.08,0.4,86.72,26.65,31.57,12.01,91.46,0.0,32.21,-0.34,37.74,4.47,27.66,38.57,0.82,-17.57,-0.44,13.13,10.98,64.33,-9.38,45.98,44.08,7.03,78.2,37.14,17.26,9.67,0.88,18.29,32.75,39.66,13.15,2.62,3.07,24.56,7.4,0.0,-1.65,7.76,85.2,34.18,46.47,1.54,12.07,43.63,19.89,44.08,46.3,6.28,16.53,8.57,2.22,19.03,-0.58,4.56,3.57,4.94,1.09,15.99,31.78,129.08,19.68,24.07,7.6,66.58,1.37,65.56,35.21,15.0,8.43,25.4,10.5,11.31,8.14,9.9,10.01,2.81,51.46,25.79,1.89,143.06,286.04,7.26,27.88,6.69,12.97,36.55,26.03,62.01,50.91,124.91,28.77,12.2,10.74,17.64,11.07,2.16,24.01,5.03,1.66,156.95,146.88,11.41,15.53,10.88,28.87,26.89,,,,,,,,,
2023-04-07 04:00:00,17.25,13.79,40.83,0.85,79.13,124.56,104.14,27.27,1.65,1.14,9.34,163.46,145.74,117.08,6.27,74.37,0.26,14.91,-12.6,0.0,9.83,31.08,6.64,0.0,0.0,0.0,0.0,0.0,10.04,4.36,8.3,6.27,0.0,33.89,0.93,26.75,200.2,8.84,6.27,3.06,14.54,29.57,10.42,8.92,5.89,23.15,22.54,17.89,188.38,75.04,46.71,32.19,13.65,116.06,6.59,42.54,27.67,5.48,0.43,0.79,87.27,26.4,31.51,12.75,87.92,0.0,29.84,8.08,37.79,4.58,29.11,37.87,0.12,-17.21,-0.06,13.26,10.95,64.37,-8.86,46.22,43.12,6.83,79.36,39.78,17.77,9.63,0.84,18.35,32.47,39.21,14.93,2.69,3.69,24.86,7.86,0.0,-2.28,7.67,82.78,34.32,46.64,1.43,13.67,44.13,21.27,44.14,46.4,6.46,15.43,12.61,2.67,19.64,-0.39,4.96,3.65,5.49,1.14,15.5,30.84,131.15,17.66,25.41,8.15,66.17,1.39,66.92,34.53,14.6,8.52,24.98,10.39,8.82,8.16,12.37,10.08,2.76,51.31,25.81,1.78,128.8,297.57,7.03,26.77,7.08,12.69,36.03,26.33,61.02,48.41,128.31,29.14,12.04,10.52,17.78,11.52,2.57,23.95,5.24,1.66,154.52,145.66,10.88,14.33,11.09,27.42,27.46,,,,,,,,,
2023-04-07 04:30:00,17.99,13.57,160.88,0.96,79.64,123.79,104.67,25.0,1.64,1.35,9.39,162.02,154.56,115.25,6.55,86.03,0.24,15.18,-13.94,0.0,9.4,30.28,6.14,0.0,0.0,0.0,0.0,0.0,10.0,4.47,8.27,6.21,0.0,33.82,0.88,26.3,195.93,8.41,6.41,3.11,12.15,30.19,10.75,8.17,6.03,23.42,23.89,17.78,186.76,75.19,47.35,33.28,13.66,114.7,6.26,38.53,28.08,6.58,0.64,1.15,88.08,27.19,30.19,13.14,93.12,0.0,31.19,8.0,37.68,4.43,29.86,39.16,-0.08,-16.83,-1.15,12.19,11.16,62.92,-9.1,45.36,45.57,6.78,77.29,40.56,17.65,9.77,0.88,18.37,33.57,39.22,14.7,2.73,3.63,24.81,6.99,0.0,-1.81,8.36,82.78,33.31,48.21,1.56,12.95,43.67,21.23,45.37,48.41,6.63,14.76,8.38,2.46,19.29,-0.62,4.41,4.2,5.61,1.08,15.67,30.83,129.82,18.04,27.02,8.27,66.42,1.36,66.61,33.45,14.57,8.69,24.8,10.61,14.01,8.4,12.84,9.96,2.19,51.23,25.94,1.93,129.13,292.11,7.8,27.04,6.93,12.75,35.9,25.52,59.69,48.33,113.71,29.1,12.04,10.68,17.7,11.64,2.72,23.95,5.43,1.28,159.06,143.47,11.5,15.56,11.46,28.52,28.27,,,,,,,,,
2023-04-07 05:00:00,17.7,13.62,54.64,0.82,79.45,124.14,108.93,27.68,1.75,1.18,10.02,163.13,150.48,115.52,6.51,80.28,0.26,15.48,-13.53,0.0,9.86,30.26,6.4,0.0,0.0,0.0,0.0,0.0,10.04,4.16,8.43,6.3,0.0,34.08,1.0,26.01,200.44,9.18,6.5,3.29,14.1,30.16,11.06,5.0,6.1,23.52,24.89,18.84,185.96,74.16,45.92,31.7,13.97,115.73,6.05,43.64,27.22,6.35,0.53,1.07,88.99,26.38,29.83,13.24,94.36,0.0,28.59,8.28,37.74,4.58,29.18,36.56,0.94,-17.27,-0.92,11.57,11.28,64.2,-8.14,46.2,44.79,6.91,79.83,39.76,17.33,9.93,0.8,18.68,31.74,39.47,15.03,2.77,3.34,24.56,8.89,0.0,-2.83,8.64,82.78,34.18,47.13,1.6,11.61,44.27,20.92,46.5,47.42,6.69,14.93,9.78,2.65,19.29,-0.62,4.64,4.49,5.35,1.12,16.47,31.26,133.28,19.08,23.86,7.51,66.3,1.33,68.08,33.37,14.51,8.72,24.78,11.27,6.31,8.55,12.68,10.1,2.59,51.1,25.98,1.69,130.3,292.29,7.38,26.26,6.73,12.9,36.22,26.02,58.82,48.75,112.6,29.89,11.74,10.6,17.52,10.77,2.87,23.93,5.26,1.58,157.33,143.36,11.35,14.96,12.47,28.92,29.35,,,,,,,,,
